IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/49G,⚕️🔬,"medicine, medical science"
http://iconclass.org/49H,,social sciences
http://iconclass.org/49I,🗺️🔬,geography
http://iconclass.org/49K,📜🔬,historical disciplines; philology
http://iconclass.org/49L,✍️,writing and letters
http://iconclass.org/49M,📚🖨️⚙️,"production of printed matter, book-production"
http://iconclass.org/49N,📖👀,reading
http://iconclass.org/51A,,Existence and Modes of Existence
http://iconclass.org/51B,,Kinds of Relation
http://iconclass.org/51C,,Causation
http://iconclass.org/51D,,Order and Disorder
http://iconclass.org/51E,,Hierarchical Order
http://iconclass.org/51F,,Temporal Relationship
http://iconclass.org/51G,,Some Characteristics of Matter
http://iconclass.org/51H,⚖️🌡️,Quantity and Degree
http://iconclass.org/51I,,Space
http://iconclass.org/51K,,Aspects of Change
http://iconclass.org/51L,,Types of Motion
http://iconclass.org/51M,,Quality of Motion
http://iconclass.org/52A,🧠💭,Intelligence and Intellectual Faculties
http://iconclass.org/52B,💭⚙️,Reasoning
http://iconclass.org/52C,💭✔️🤷,Understanding and Misunderstanding
http://iconclass.org/52D,💭🗣️📊,Communication of Thought (qualitative aspects)
http://iconclass.org/52E,,Communication of Thought (answer and question)
http://iconclass.org/53A,,Characteristics of Will
http://iconclass.org/53B,,Acts of the Will
http://iconclass.org/53C,👑,Authority and Subordination
http://iconclass.org/53D,,Intersocial Volition
http://iconclass.org/54A,,State of Being while Doing
http://iconclass.org/54B,,Means and Characteristics of Means
http://iconclass.org/54C,,"Intention, Purpose, Aim"
http://iconclass.org/54D,⚙️♻️,Procedure
http://iconclass.org/54E,,Reciprocal Action
http://iconclass.org/54F,👍👎,Fortune and Misfortune
http://iconclass.org/55A,🏷️📉,Acquisition and Loss
http://iconclass.org/55B,🏷️,Possession
http://iconclass.org/55C,,Use of Property
http://iconclass.org/56A,,Feeling
http://iconclass.org/56B,😆☹️,Joy and Sorrow
http://iconclass.org/56C,,Aesthetic Sense
http://iconclass.org/56D,🙏😨,Hope and Fear
http://iconclass.org/56E,,Anger and Meekness
http://iconclass.org/56F,😏🤢,Desire and Aversion
http://iconclass.org/57A,👍👎,"Good and Bad Behaviour, Moral Qualities"
http://iconclass.org/57B,,Judgment of Conduct
http://iconclass.org/58A,🆕🔥⚙️,Creation and Destruction
http://iconclass.org/58B,,Vitality and Mortality
http://iconclass.org/59A,,Man ~ Community
http://iconclass.org/59B,👥📊,Social Position
http://iconclass.org/59C,👍👎⚖️,Justice and Injustice
http://iconclass.org/61A,📜📅,historical events and situations
http://iconclass.org/61B,📜👥,historical persons (portraits and scenes from the life)
http://iconclass.org/61C,🐾🌿🏷️,proper names of plants and animals
http://iconclass.org/61D,🏞️🏷️,"geographical names of countries, regions, mountains, rivers, etc."
http://iconclass.org/61E,🏙️🏷️,names of cities and villages
